WO_NO,EQP_TAG,DETC_DT,STRT_DT,END_DT,MNT_TYPE,FAIL_MODE,DOWN_MIN,PART_CHG,WRKR_ID,WRK_TEAM,REMARK
WO-2024-00992,P1-SP1-EXF01,2024-06-17 14:23,2024-06-25 18:56,2024-06-25 23:54,CBM,UNB,110,N,MT-1012,MT-B,VIB 상승
WO-2024-00993,P1-CC1-INS01,2024-06-17 14:42,2024-06-17 18:11,2024-06-17 19:59,TBM,,108,Y,MT-1007,MT-B,TBM 점검
WO-2024-00994,P1-CC2-INS01,2024-06-17 15:37,2024-06-17 18:18,2024-06-17 23:02,TBM,,283,N,MT-1012,MT-B,"1호기 재발, 정기점검 실시"
WO-2024-00995,P1-SP2-DCF02,2024-06-17 22:53,2024-06-17 23:23,2024-06-18 03:57,TBM,,165,N,MT-1022,MT-D,
WO-2024-00996,P1-SP1-SNM01,2024-06-18 04:11,2024-06-18 08:03,2024-06-18 12:43,BM,ETC,260,N,MT-1003,MT-A,현상 재현 안됨
WO-2024-00997,P1-SP2-MIX01,2024-06-18 06:19,2024-06-18 08:02,2024-06-18 12:12,TBM,,225,N,MT-1013,MT-C,정기점검 - 이상없음
WO-2024-00998,P1-CC1-SCC01,2024-06-18 06:39,2024-06-18 07:51,2024-06-18 09:45,TBM,,75,N,MT-1014,MT-C,"1호기 재발, 월간 점검 완료"
WO-2024-00999,P1-CC1-PMP01,2024-06-18 06:45,2024-06-19 22:16,2024-06-20 00:14,CBM,LUB,118,N,MT-1016,MT-C,윤활유 누유
WO-2024-01000,P1-SP1-SNM01,2024-06-18 06:48,2024-06-18 07:21,2024-06-18 09:21,TBM,,119,N,MT-1018,MT-C,월간 점검 완료
WO-2024-01001,P1-CC1-PMP01,2024-06-18 14:03,2024-06-18 15:44,2024-06-18 17:24,TBM,BRG,100,N,MT-1014,MT-C,베어링 이상음
WO-2024-01002,P1-CC2-PMP01,2024-06-18 15:19,2024-06-18 18:36,2024-06-18 22:46,TBM,,145,N,MT-1016,MT-C,
WO-2024-01003,P1-SP2-EXF01,2024-06-18 17:40,2024-06-19 19:32,2024-06-20 04:00,CBM,,508,N,MT-1015,MT-C,원인 미상
WO-2024-01004,P1-SP1-EXF01,2024-06-19 22:22,2024-06-26 06:44,2024-06-26 12:19,CBM,LUB,334,N,MT-1007,MT-B,
WO-2024-01005,P1-SP1-CLR01,2024-06-19 23:24,2024-06-19 23:33,2024-06-20 01:34,TBM,,60,N,MT-1009,MT-B,정기점검 실시
WO-2024-01006,P1-SP1-DCF01,2024-06-20 03:22,2024-06-20 04:24,2024-06-20 06:00,TBM,,0,Y,MT-1014,MT-C,월간 점검 완료
WO-2024-01007,P1-CC2-TUN01,2024-06-20 06:08,2024-06-20 08:16,2024-06-20 11:02,TBM,,0,N,MT-1002,MT-A,정기점검 실시
WO-2024-01008,P1-CC1-SEG04,2024-06-20 09:23,2024-06-20 12:50,2024-06-21 12:16,BM,ETC,920,Y,MT-1005,MT-A,원인 미상
WO-2024-01009,P1-SP2-CRS01,2024-06-20 14:18,2024-06-20 17:10,2024-06-21 00:36,BM,MAL,305,N,MT-1005,MT-A,설비 트립
WO-2024-01010,P1-BF1-HSV01,2024-06-20 15:06,2024-06-20 19:13,2024-06-20 21:35,BM,MAL,142,N,MT-1006,MT-A,제어 이상
WO-2024-01011,P1-CC2-SEG04,2024-06-20 22:11,2024-06-21 03:41,2024-06-21 05:18,BM,SEL,96,N,MT-1013,MT-C,냉각수 누설
WO-2024-01012,P1-CC1-EMS01,2024-06-20 22:42,2024-06-21 02:25,2024-06-21 05:25,TBM,,179,N,MT-1016,MT-C,정기점검검 - 이상없음
WO-2024-01013,P1-SP1-EXF01-MTR,2024-06-20 22:49,2024-06-30 15:53,2024-06-30 23:10,CBM,LUB,260,Y,MT-1015,MT-C,"1호기 재발, 누유 확인"
WO-2024-01014,P1-CC1-PMP02,2024-06-21 02:48,2024-06-21 05:54,2024-06-21 09:59,TBM,,130,N,MT-1021,MT-D,TBM 점검
WO-2024-01015,P1-BF1-BFR01,2024-06-21 14:03,2024-06-21 14:05,2024-06-21 15:31,TBM,,86,N,MT-1010,MT-B,순회점검 후속
WO-2024-01016,P1-CR1-DCF01,2024-06-21 14:53,2024-06-21 17:30,2024-06-21 22:04,BM,,273,N,MT-1010,MT-B,  확인 중 
WO-2024-01017,P1-SM1-RHD01,2024-06-21 15:50,2024-06-21 16:36,2024-06-21 21:25,TBM,,288,N,MT-1010,MT-B,계획 점검검 수행
WO-2024-01018,P1-SP1-EXF01,2024-06-21 15:55,2024-06-21 21:39,2024-06-22 00:43,BM,ELE,183,N,MT-1007,MT-B,"1호기 재발, 절연 저하"
WO-2024-01019,P1-CC1-TUN01,2024-06-21 23:51,2024-06-22 00:11,2024-06-22 04:55,TBM,,135,N,MT-1021,MT-D,"1호기 재발, 점검 이상없음"
WO-2024-01020,P1-CR1-SPM01-MTR,2024-06-22 14:41,2024-06-22 16:52,2024-06-22 19:05,TBM,,133,N,MT-1018,MT-C,정기점검 실시
WO-2024-01021,P1-SM1-BOF02,2024-06-22 15:02,2024-06-22 15:44,2024-06-22 19:10,TBM,,205,Y,MT-1014,MT-C,"2호기 재발, 월간 점검 완료"
WO-2024-01022,P1-SP2-DCF01,2024-06-22 15:42,2024-06-22 16:10,2024-06-22 19:50,BM,WER,220,Y,MT-1014,MT-C,WEAR 확인
WO-2024-01023,P1-BF2-BFR01,2024-06-22 21:11,2024-06-22 22:02,2024-06-22 23:55,TBM,,113,N,MT-1001,MT-A,
WO-2024-01024,P1-CC2-SCC01,2024-06-22 22:35,2024-06-23 01:20,2024-06-23 03:53,TBM,,75,N,MT-1005,MT-A,점검 이상없음
WO-2024-01025,P1-CR1-PKL01,2024-06-23 14:34,2024-06-23 20:07,2024-06-23 20:37,BM,LUB,30,N,MT-1019,MT-D,오일 레벨 저하
WO-2024-01026,P1-SM1-DCF01,2024-06-23 18:59,2024-06-23 20:22,2024-06-23 22:10,TBM,,108,Y,MT-1010,MT-B,계획 점검 수행
WO-2024-01027,P1-CC2-LDT01,2024-06-23 23:56,2024-06-24 01:31,2024-06-24 04:12,TBM,,120,N,MT-1010,MT-B,"1호기 재발, 정기점검 - 이상없음"
WO-2024-01028,P1-CC2-PMP02,2024-06-24 07:23,2024-06-24 08:25,2024-06-24 11:14,TBM,LUB,130,N,MT-1001,MT-A,"2호기 재발, 급유 불량"
WO-2024-01029,P1-CR1-PMP01,2024-06-24 08:25,2024-06-24 10:43,2024-06-24 14:42,TBM,,239,N,MT-1006,MT-A,
WO-2024-01030,P1-SP2-EXF01,2024-06-24 22:32,2024-06-25 02:08,2024-06-25 06:24,TBM,,0,N,MT-1015,MT-C,
WO-2024-01031,P1-CC2-EMS01,2024-06-24 22:37,2024-06-25 01:46,2024-06-25 06:26,TBM,,0,N,MT-1014,MT-C,순회점검 후속
WO-2024-01032,P1-SP2-DCF01,2024-06-24 22:54,2024-06-25 01:53,2024-06-25 04:00,TBM,,85,N,MT-1015,MT-C,정기점검 - 이상없음
WO-2024-01033,P1-CC1-TUN01,2024-06-24 23:48,2024-06-25 01:15,2024-06-25 02:25,BM,BRG,69,N,MT-1013,MT-C,베어링 이상음
WO-2024-01034,P1-SM1-LFR01,2024-06-25 04:26,2024-06-25 05:30,2024-06-25 08:44,TBM,,145,N,MT-1024,MT-D,계획 점검 수행
WO-2024-01035,P1-CR1-INS01,2024-06-25 07:58,2024-06-25 08:21,2024-06-25 10:47,TBM,,145,N,MT-1010,MT-B,정기점검 - 이상없음
WO-2024-01036,P1-CC2-PMP02,2024-06-25 09:59,2024-06-25 15:56,2024-06-25 17:50,BM,BRG,114,N,MT-1011,MT-B,
WO-2024-01037,P1-BF2-BLW01,2024-06-25 14:13,2024-07-01 06:38,2024-07-01 09:27,CBM,,150,N,MT-1008,MT-B,화인 중
WO-2024-01038,P1-CC2-INS01,2024-06-25 20:01,2024-06-26 01:50,2024-06-26 11:17,BM,ELE,566,N,MT-1022,MT-D,  전류 불안정 
WO-2024-01039,P1-SP1-EXF01,2024-06-25 22:18,2024-06-30 06:43,2024-06-30 08:38,CBM,,115,N,MT-1023,MT-D,
WO-2024-01040,P1-BF2-BLW01,2024-06-25 22:31,2024-06-25 23:50,2024-06-26 02:05,TBM,UNB,95,Y,MT-1019,MT-D,진동치 증가
WO-2024-01041,P1-SP1-CLR01,2024-06-25 22:49,2024-06-26 03:39,2024-06-26 12:44,BM,,545,N,MT-1024,MT-D,재점검 필요
WO-2024-01042,P1-BF2-PCI01,2024-06-25 23:11,2024-06-26 04:24,2024-06-26 10:23,BM,,110,N,MT-1022,MT-D,현상 재현 안됨
WO-2024-01043,P1-SM1-BOF01,2024-06-26 06:35,2024-06-26 10:07,2024-06-26 11:25,TBM,,78,N,MT-1018,MT-C,"1호기 재발, 점검 이상없음"
WO-2024-01044,P1-BF1-BLW01,2024-06-26 06:58,2024-06-26 11:58,2024-06-26 20:12,BM,ETC,245,N,MT-1017,MT-C,현상 재현 안됨
WO-2024-01045,P1-CC2-SEG01,2024-06-26 14:36,2024-06-26 15:05,2024-06-26 18:35,TBM,,0,N,MT-1013,MT-C,계획 점검 수행
WO-2024-01046,P1-CR1-CRN01,2024-06-26 21:05,2024-06-27 01:21,2024-06-27 06:30,BM,ETC,309,N,MT-1003,MT-A,
WO-2024-01047,P1-CC2-SEG04,2024-06-27 06:42,2024-06-27 10:00,2024-06-27 19:39,BM,LUB,400,N,MT-1023,MT-D,누유 확인
WO-2024-01048,P1-CC1-TUN01,2024-06-27 07:08,2024-06-27 08:15,2024-06-27 09:03,BM,BRG,40,Y,MT-1024,MT-D,
WO-2024-01049,P1-CC2-SEG04,2024-06-27 07:20,2024-06-27 07:48,2024-06-27 12:08,TBM,,0,N,MT-1020,MT-D,정기점검 실시
WO-2024-01050,P1-BF2-HSV03,2024-06-27 14:34,2024-06-27 15:13,2024-06-27 17:49,TBM,ELE,0,N,MT-1019,MT-D,인버터 알람
WO-2024-01051,P1-CC1-SEG03,2024-06-27 22:39,2024-06-27 23:20,2024-06-28 03:03,TBM,,90,N,MT-1008,MT-B,정기점검 - 이상없음
WO-2024-01052,P1-SP2-AGT01,2024-06-27 23:06,2024-06-28 01:17,2024-06-28 03:13,TBM,,0,N,MT-1010,MT-B,"1호기 재발, 계획 점검 수행"
WO-2024-01053,P1-SP2-SNM01,2024-06-28 07:59,2024-06-28 12:06,2024-06-28 12:44,BM,ELE,37,Y,MT-1004,MT-A,절연 저하
WO-2024-01054,P1-SP2-AGT01,2024-06-29 07:09,2024-07-08 17:05,2024-07-09 00:16,CBM,BRG,431,N,MT-1011,MT-B,BRG 이음
WO-2024-01055,P1-BF2-BLW01,2024-06-29 15:22,2024-07-04 05:18,2024-07-04 11:29,CBM,,370,N,MT-1010,MT-B,"1호기 재발, 현상 재현 안됨"
WO-2024-01056,P1-CC1-MLD01,2024-06-30 05:31,2024-06-30 09:36,2024-06-30 16:34,BM,ETC,418,N,MT-1002,MT-A,재점검 필요
WO-2024-01057,P1-BF1-PCI01,2024-06-30 15:48,2024-06-30 20:58,2024-06-30 22:37,BM,WER,60,N,MT-1018,MT-C,  마모량 초과 
WO-2024-01058,P1-SP1-CRS01,2024-07-01 06:41,2024-07-01 07:48,2024-07-01 08:38,TBM,,0,N,MT-1019,MT-D,계획 점검 수행
WO-2024-01059,P1-SP1-DCF02,2024-07-01 07:00,2024-07-01 12:26,2024-07-01 14:21,BM,LUB,115,Y,MT-1021,MT-D,누유 확인
WO-2024-01060,P1-CR1-SPM01,2024-07-01 15:55,2024-07-01 17:34,2024-07-01 18:32,BM,BRG,57,N,MT-1021,MT-D,BRG 이음
WO-2024-01061,P1-CC1-MLD01,2024-07-01 17:58,2024-07-01 21:16,2024-07-01 22:54,TBM,,0,N,MT-1020,MT-D,계획 점검 수행
WO-2024-01062,P1-CR1-SPM01,2024-07-01 23:07,2024-07-05 22:14,2024-07-06 08:05,CBM,BRG,305,N,MT-1009,MT-B,BRG소음 확인
WO-2024-01063,P1-SP1-SCR01,2024-07-02 03:24,2024-07-02 05:15,2024-07-02 08:26,BM,LUB,191,N,MT-1017,MT-C,급유 불량
WO-2024-01064,P1-CC1-SCC01,2024-07-02 07:10,2024-07-02 10:34,2024-07-02 16:22,BM,,285,Y,MT-1004,MT-A,현상 재현 안됨
WO-2024-01065,P1-CC1-LDT01,2024-07-02 07:38,2024-07-02 11:30,2024-07-02 14:12,TBM,,0,Y,MT-1005,MT-A,정기점검 - 이상없음
WO-2024-01066,P1-CC2-MLD01,2024-07-02 16:15,2024-07-02 21:39,2024-07-02 22:53,BM,,73,N,MT-1006,MT-A,
WO-2024-01067,P1-CR1-WLD01,2024-07-02 19:14,2024-07-02 19:48,2024-07-03 00:09,TBM,,261,N,MT-1018,MT-C,정기점검 실시
WO-2024-01068,P1-CR1-SPM01,2024-07-02 22:37,2024-07-02 23:21,2024-07-03 01:53,TBM,,0,N,MT-1015,MT-C,"1호기 재발, 점검 이상없음"
WO-2024-01069,P1-CC1-SEG04,2024-07-03 06:03,2024-07-03 06:52,2024-07-03 08:41,TBM,,0,N,MT-1011,MT-B,정기점검 실시
WO-2024-01070,P1-SP2-EXF01-MTR,2024-07-03 06:30,2024-07-03 08:35,2024-07-03 09:34,TBM,,0,N,MT-1007,MT-B,TBM 점검
WO-2024-01071,P1-SM1-BOF01,2024-07-03 06:49,2024-07-03 10:47,2024-07-03 12:46,BM,ELE,65,Y,MT-1010,MT-B,
WO-2024-01072,P1-CC1-MLD01,2024-07-03 23:58,2024-07-04 00:33,2024-07-04 03:55,BM,WER,100,N,MT-1021,MT-D,
WO-2024-01073,P1-BF2-CAS01,2024-07-04 07:37,2024-07-04 09:11,2024-07-04 11:36,TBM,,145,N,MT-1018,MT-C,월간 점검 완료
WO-2024-01074,P1-CC1-INS01,2024-07-04 17:16,2024-07-06 11:39,2024-07-06 17:20,CBM,ELE,341,N,MT-1017,MT-C,모터 과열
WO-2024-01075,P1-CC2-SEG03,2024-07-04 22:22,2024-07-05 00:40,2024-07-05 03:35,TBM,,60,N,MT-1002,MT-A,
WO-2024-01076,P1-CR1-TCM01,2024-07-04 22:52,2024-07-05 01:26,2024-07-05 06:13,TBM,,0,N,MT-1001,MT-A,월간 점검 완료
WO-2024-01077,P1-CC2-MLD01,2024-07-04 23:34,2024-07-05 00:11,2024-07-05 16:04,BM,,952,N,MT-1001,MT-A,재점검 필요
WO-2024-01078,P1-CR1-RCL01,2024-07-05 04:10,2024-07-05 05:29,2024-07-05 09:52,TBM,,210,Y,MT-1008,MT-B,정기점검 실시
WO-2024-01079,P1-SP1-IGF01,2024-07-05 07:48,2024-07-05 08:01,2024-07-05 09:33,TBM,,0,Y,MT-1024,MT-D,정기점검검 실시
WO-2024-01080,P1-CC2-PMP02,2024-07-05 15:03,2024-07-05 20:17,2024-07-05 21:32,BM,ETC,75,N,MT-1022,MT-D,  원인 미상 
WO-2024-01081,P1-BF1-HSV01,2024-07-05 15:20,2024-07-05 17:28,2024-07-05 20:15,TBM,,0,N,MT-1020,MT-D,월간 점검 완료
WO-2024-01082,P1-CC1-SEG02,2024-07-05 22:13,2024-07-06 00:36,2024-07-06 05:26,TBM,,290,Y,MT-1008,MT-B,순회점검 후속
WO-2024-01083,P1-CR1-PMP02,2024-07-05 22:16,2024-07-05 23:28,2024-07-06 02:38,TBM,,189,Y,MT-1010,MT-B,점검 이상없음
WO-2024-01084,P1-SP1-EXF01-MTR,2024-07-05 22:25,2024-07-05 23:06,2024-07-06 02:12,TBM,,60,N,MT-1007,MT-B,정기점검 실시
WO-2024-01085,P1-SP1-DCF02,2024-07-05 22:29,2024-07-05 23:56,2024-07-06 03:43,TBM,WER,227,Y,MT-1007,MT-B,표면 마모 확인
WO-2024-01086,P1-CC2-PMP01,2024-07-06 06:48,2024-07-06 12:08,2024-07-06 13:56,BM,,55,N,MT-1004,MT-A,원인 미상
WO-2024-01087,P1-SP1-MIX01,2024-07-06 14:06,2024-07-06 16:44,2024-07-06 21:40,TBM,,215,N,MT-1004,MT-A,월간 점검 완료
WO-2024-01088,P1-SP1-EXF01,2024-07-06 14:08,2024-07-06 16:45,2024-07-06 21:24,TBM,,278,N,MT-1002,MT-A,TBM 점검
WO-2024-01089,P1-SM1-CRN02,2024-07-06 15:17,2024-07-06 19:08,2024-07-06 21:37,TBM,,90,Y,MT-1004,MT-A,
WO-2024-01090,P1-BF1-BLW01,2024-07-06 23:02,2024-07-10 19:46,2024-07-11 04:01,CBM,,494,Y,MT-1018,MT-C,
WO-2024-01091,P1-BF2-HSV01,2024-07-07 14:21,2024-07-07 15:53,2024-07-07 18:36,TBM,,0,N,MT-1009,MT-B,정기점검검 실시
WO-2024-01092,P1-CC2-MLD01,2024-07-07 22:50,2024-07-08 00:48,2024-07-08 03:03,BM,LUB,0,N,MT-1019,MT-D,
WO-2024-01093,P1-SP2-MIX01,2024-07-08 07:50,2024-07-08 13:26,2024-07-08 22:35,BM,BRG,390,N,MT-1016,MT-C,베어링 이상음
WO-2024-01094,P1-CR1-CAL01,2024-07-08 08:49,2024-07-08 11:11,2024-07-08 19:04,BM,ELE,405,Y,MT-1017,MT-C,"1호기 재발, 절연 저하"
WO-2024-01095,P1-SP1-AGT01,2024-07-08 21:22,2024-07-08 21:47,2024-07-09 05:11,BM,BRG,160,Y,MT-1004,MT-A,BRG소음 확인
WO-2024-01096,P1-SP2-EXF01,2024-07-08 19:58,2024-07-16 16:39,2024-07-16 23:03,CBM,ELE,383,N,MT-1002,MT-A,인버터 알람
WO-2024-01097,P1-SP2-CRS01,2024-07-08 22:31,2024-07-08 23:06,2024-07-09 01:36,TBM,,90,N,MT-1005,MT-A,계획 점검 수행
WO-2024-01098,P1-SP1-AGT01,2024-07-09 04:04,2024-07-09 04:05,2024-07-09 04:57,TBM,,30,N,MT-1008,MT-B,
WO-2024-01099,P1-CR1-CRN01,2024-07-09 06:25,2024-07-09 09:56,2024-07-09 18:43,BM,BRG,527,N,MT-1024,MT-D,  이상음 발생 
WO-2024-01100,P1-CC2-SEG02,2024-07-09 07:01,2024-07-09 09:24,2024-07-09 11:11,TBM,,106,N,MT-1021,MT-D,순회점검 후속
WO-2024-01101,P1-BF2-PCI01,2024-07-09 07:22,2024-07-09 10:35,2024-07-09 13:56,TBM,,65,N,MT-1019,MT-D,
WO-2024-01102,P1-SP2-AGT01-MTR,2024-07-09 07:47,2024-07-09 10:51,2024-07-09 13:03,TBM,,70,N,MT-1020,MT-D,
WO-2024-01103,P1-CR1-PKL01,2024-07-09 14:53,2024-07-09 20:00,2024-07-09 20:44,BM,ETC,44,N,MT-1020,MT-D,확인 중
WO-2024-01104,P1-SP1-EXF01,2024-07-09 15:46,2024-07-13 22:56,2024-07-14 03:09,CBM,ETC,253,N,MT-1024,MT-D,확인 중
WO-2024-01105,P1-CR1-SPM01-MTR,2024-07-09 22:53,2024-07-09 23:40,2024-07-10 02:29,BM,BRG,169,N,MT-1010,MT-B,BRG소음 확인
WO-2024-01106,P1-CR1-SPM01,2024-07-10 06:26,2024-07-12 12:08,2024-07-12 14:24,CBM,ETC,136,Y,MT-1005,MT-A,확인 중
WO-2024-01107,P1-CR1-WLD01,2024-07-10 11:47,2024-07-19 02:08,2024-07-19 12:02,CBM,ELE,445,N,MT-1002,MT-A,모터 과열
WO-2024-01108,P1-CC1-LDT01,2024-07-10 15:37,2024-07-10 20:21,2024-07-10 23:20,BM,LUB,178,Y,MT-1002,MT-A,  오일 레벨 저하 
WO-2024-01109,P1-SP1-BCV02,2024-07-10 18:28,2024-07-10 21:27,2024-07-11 11:55,BM,WER,867,N,MT-1015,MT-C,"2호기 재발, WEAR 확인"
WO-2024-01110,P1-BF1-PCI01,2024-07-10 22:02,2024-07-11 01:37,2024-07-11 05:45,TBM,,130,N,MT-1018,MT-C,"1호기 재발, 점검 이상없음"
WO-2024-01111,P1-CR1-CAL01,2024-07-10 22:24,2024-07-10 23:15,2024-07-11 00:05,TBM,,50,N,MT-1017,MT-C,
WO-2024-01112,P1-CC2-LDT01,2024-07-10 22:54,2024-07-11 01:42,2024-07-11 02:56,BM,LUB,25,Y,MT-1018,MT-C,급유 불량
WO-2024-01113,P1-CR1-CRN01,2024-07-11 06:17,2024-07-11 09:12,2024-07-11 12:58,TBM,,225,N,MT-1012,MT-B,정기점검 실시
WO-2024-01114,P1-BF1-HSV02,2024-07-11 06:43,2024-07-11 07:07,2024-07-11 08:57,TBM,,80,N,MT-1010,MT-B,정기점검 실시
WO-2024-01115,P1-BF1-BLW01,2024-07-11 07:08,2024-07-11 10:01,2024-07-11 14:08,TBM,BRG,0,N,MT-1010,MT-B,"1호기 재발, 구동측 베어링 발열"
WO-2024-01116,P1-CR1-PMP03,2024-07-11 14:03,2024-07-11 16:56,2024-07-11 18:51,TBM,,115,Y,MT-1011,MT-B,"3호기 재발, TBM 점검"
WO-2024-01117,P1-BF1-HSV03,2024-07-11 14:46,2024-07-11 15:56,2024-07-11 19:37,TBM,,220,Y,MT-1008,MT-B,
WO-2024-01118,P1-CC2-INS01,2024-07-12 06:24,2024-07-12 06:36,2024-07-12 07:57,TBM,,81,N,MT-1013,MT-C,월간 점검 완료
WO-2024-01119,P1-SP1-MIX02,2024-07-12 07:56,2024-07-12 11:00,2024-07-12 14:25,TBM,,0,Y,MT-1013,MT-C,정기점검 실시
WO-2024-01120,P1-SP2-IGF01,2024-07-12 07:59,2024-07-12 10:21,2024-07-12 13:22,TBM,,181,N,MT-1017,MT-C,"1호기 재발, 계획 점검 수행"
WO-2024-01121,P1-BF2-HSV02,2024-07-12 15:26,2024-07-12 19:11,2024-07-12 21:42,TBM,,0,N,MT-1016,MT-C,월간 점검 완료
WO-2024-01122,P1-SM1-LFR01,2024-07-12 15:50,2024-07-12 21:12,2024-07-13 10:37,BM,WER,295,Y,MT-1016,MT-C,"1호기 재발, WEAR 확인"
WO-2024-01123,P1-SM1-CRN01,2024-07-12 22:17,2024-07-13 00:19,2024-07-13 04:51,TBM,,271,N,MT-1006,MT-A,정기점검 실시
WO-2024-01124,P1-SP2-SNM01,2024-07-13 06:16,2024-07-13 07:23,2024-07-13 10:46,TBM,,135,N,MT-1022,MT-D,정기점검 - 이상없음
WO-2024-01125,P1-SP2-CLR01,2024-07-13 22:19,2024-07-13 23:17,2024-07-14 02:09,TBM,,0,N,MT-1007,MT-B,월간 점검 완료
WO-2024-01126,P1-BF2-BLW01,2024-07-13 23:36,2024-07-14 02:06,2024-07-14 04:13,BM,,80,Y,MT-1012,MT-B,특이사항
WO-2024-01127,P1-CC1-SEG01,2024-07-14 12:08,2024-07-14 13:06,2024-07-14 14:52,TBM,,105,N,MT-1001,MT-A,월간 점검 완료
WO-2024-01128,P1-SP2-BCV02,2024-07-14 14:22,2024-07-14 18:47,2024-07-14 23:03,BM,LUB,255,N,MT-1005,MT-A,급유 불량
WO-2024-01129,P1-CC2-SEG02,2024-07-14 21:10,2024-07-15 01:45,2024-07-15 10:49,BM,LUB,185,N,MT-1016,MT-C,급유 불량
WO-2024-01130,P1-CC2-MLD01,2024-07-14 21:18,2024-07-15 00:41,2024-07-15 02:03,TBM,,30,Y,MT-1018,MT-C,점검검 이상없음
WO-2024-01131,P1-SP1-SNM01,2024-07-14 23:23,2024-07-14 23:46,2024-07-15 00:42,TBM,,56,Y,MT-1015,MT-C,정기점검 - 이상없음
WO-2024-01132,P1-SP2-SNM01,2024-07-14 23:57,2024-07-15 02:11,2024-07-15 03:17,BM,ELE,65,N,MT-1014,MT-C,절연 저하
WO-2024-01133,P1-CC1-PMP01,2024-07-15 14:03,2024-07-15 16:47,2024-07-15 18:28,TBM,,40,N,MT-1012,MT-B,점검 이상없음
WO-2024-01134,P1-SP2-EXF01-MTR,2024-07-15 15:40,2024-07-19 09:17,2024-07-19 11:01,CBM,ELE,104,Y,MT-1010,MT-B,절연 저하
WO-2024-01135,P1-CC1-INS01,2024-07-15 22:41,2024-07-16 01:29,2024-07-16 09:32,BM,ETC,435,N,MT-1019,MT-D,"1호기 재발, 원인 미상"
WO-2024-01136,P1-BF1-CAS01,2024-07-16 01:38,2024-07-16 05:30,2024-07-16 06:50,TBM,,70,N,MT-1006,MT-A,월간 점검 완료
WO-2024-01137,P1-CC1-INS01,2024-07-16 12:26,2024-07-16 16:47,2024-07-16 18:36,BM,,65,N,MT-1017,MT-C,원인 미상
WO-2024-01138,P1-CC1-INS01,2024-07-16 22:14,2024-07-17 00:35,2024-07-17 03:21,TBM,,0,N,MT-1006,MT-A,순회점검 후속
WO-2024-01139,P1-SP1-AGT01-MTR,2024-07-16 22:19,2024-07-16 23:24,2024-07-17 04:24,TBM,,105,N,MT-1004,MT-A,점검 이상없음
WO-2024-01140,P1-SP1-DCF01,2024-07-16 23:28,2024-07-17 00:31,2024-07-17 03:39,TBM,,165,N,MT-1005,MT-A,계획 점검 수행
WO-2024-01141,P1-CC2-PMP01,2024-07-17 14:41,2024-07-17 17:58,2024-07-17 18:46,TBM,,0,N,MT-1024,MT-D,"1호기 재발, TBM 점검"
WO-2024-01142,P1-BF1-BFR01,2024-07-17 15:02,2024-07-17 15:09,2024-07-17 18:57,TBM,,228,Y,MT-1020,MT-D,정기점검 실시
WO-2024-01143,P1-CR1-PMP03,2024-07-17 15:04,2024-07-17 18:07,2024-07-17 22:53,BM,LUB,0,N,MT-1024,MT-D,급유 불량
WO-2024-01144,P1-CR1-RCL01,2024-07-17 23:14,2024-07-18 01:20,2024-07-18 02:10,TBM,,49,Y,MT-1012,MT-B,계획 점검 수행
WO-2024-01145,P1-SP2-DCF02,2024-07-17 23:37,2024-07-18 01:55,2024-07-18 06:03,TBM,,247,Y,MT-1007,MT-B,
WO-2024-01146,P1-CC2-SCC01,2024-07-18 06:13,2024-07-18 08:56,2024-07-18 12:58,TBM,,120,N,MT-1003,MT-A,정기점검 실시
WO-2024-01147,P1-CC1-PMP02,2024-07-18 19:24,2024-07-18 21:29,2024-07-19 01:59,TBM,,0,N,MT-1013,MT-C,  정기점검 - 이상없음 
WO-2024-01148,P1-CR1-PMP01,2024-07-18 22:42,2024-07-23 08:15,2024-07-23 13:16,CBM,ETC,200,N,MT-1013,MT-C,  현상 재현 안됨 
WO-2024-01149,P1-SM1-BOF02,2024-07-19 11:23,2024-07-19 12:57,2024-07-19 16:41,TBM,WER,0,N,MT-1007,MT-B,  마모 진행 
WO-2024-01150,P1-CC1-PMP01,2024-07-19 12:23,2024-07-22 18:59,2024-07-22 21:00,CBM,BRG,121,N,MT-1008,MT-B,구동측 베어링 발열
WO-2024-01151,P1-CC2-SEG03,2024-07-19 22:27,2024-07-19 22:42,2024-07-20 12:29,BM,LUB,827,N,MT-1021,MT-D,윤활유 누유
WO-2024-01152,P1-CC1-EMS01,2024-07-19 15:34,2024-07-19 16:51,2024-07-19 18:35,TBM,,0,N,MT-1010,MT-B,  정기점검 실시 
WO-2024-01153,P1-BF2-BFR01,2024-07-19 23:26,2024-07-20 00:00,2024-07-20 03:34,TBM,,190,N,MT-1024,MT-D,
WO-2024-01154,P1-CC2-SCC01,2024-07-20 07:14,2024-07-20 09:32,2024-07-20 13:32,BM,ETC,239,N,MT-1018,MT-C,
WO-2024-01155,P1-SP2-MIX01,2024-07-20 07:53,2024-07-20 10:59,2024-07-20 15:21,TBM,,170,N,MT-1017,MT-C,"1호기 재발, TBM 점검"
WO-2024-01156,P1-SP1-CLR01,2024-07-20 10:11,2024-07-20 11:38,2024-07-20 14:56,TBM,WER,198,N,MT-1015,MT-C,표면 마모 확인
WO-2024-01157,P1-CR1-PKL01,2024-07-20 19:48,2024-07-20 22:00,2024-07-21 01:38,TBM,,180,N,MT-1003,MT-A,정기점검 실시
